model,faithfulness,count
claude-haiku-4-5-automata_v2-delivery_v2,1,1
claude-haiku-4-5-automata_v2-delivery_v2,2,4
claude-haiku-4-5-automata_v2-delivery_v2,3,1
claude-haiku-4-5-automata_v2-delivery_v2,4,2
claude-haiku-4-5-automata_v2-delivery_v2,5,3
claude-haiku-4-5-automata_v2-delivery_v2,6,5
claude-haiku-4-5-automata_v2-delivery_v2,7,5
claude-haiku-4-5-automata_v2-delivery_v2,8,5
claude-haiku-4-5-automata_v2-delivery_v2,9,8
claude-haiku-4-5-automata_v2-delivery_v2,10,10
deepseek-v3.2-automata_v2-delivery_v2,1,0
deepseek-v3.2-automata_v2-delivery_v2,2,1
deepseek-v3.2-automata_v2-delivery_v2,3,4
deepseek-v3.2-automata_v2-delivery_v2,4,1
deepseek-v3.2-automata_v2-delivery_v2,5,3
deepseek-v3.2-automata_v2-delivery_v2,6,1
deepseek-v3.2-automata_v2-delivery_v2,7,6
deepseek-v3.2-automata_v2-delivery_v2,8,8
deepseek-v3.2-automata_v2-delivery_v2,9,8
deepseek-v3.2-automata_v2-delivery_v2,10,13
gemini-3-flash-preview-automata_v2-delivery_v2,1,1
gemini-3-flash-preview-automata_v2-delivery_v2,2,2
gemini-3-flash-preview-automata_v2-delivery_v2,3,1
gemini-3-flash-preview-automata_v2-delivery_v2,4,0
gemini-3-flash-preview-automata_v2-delivery_v2,5,1
gemini-3-flash-preview-automata_v2-delivery_v2,6,3
gemini-3-flash-preview-automata_v2-delivery_v2,7,4
gemini-3-flash-preview-automata_v2-delivery_v2,8,2
gemini-3-flash-preview-automata_v2-delivery_v2,9,10
gemini-3-flash-preview-automata_v2-delivery_v2,10,22
gpt-5.4-automata_v2-delivery_v2,1,0
gpt-5.4-automata_v2-delivery_v2,2,2
gpt-5.4-automata_v2-delivery_v2,3,1
gpt-5.4-automata_v2-delivery_v2,4,0
gpt-5.4-automata_v2-delivery_v2,5,1
gpt-5.4-automata_v2-delivery_v2,6,2
gpt-5.4-automata_v2-delivery_v2,7,2
gpt-5.4-automata_v2-delivery_v2,8,4
gpt-5.4-automata_v2-delivery_v2,9,9
gpt-5.4-automata_v2-delivery_v2,10,23
