model,naturalness,count
claude-haiku-4-5-automata_v2-delivery_v2,1,1
claude-haiku-4-5-automata_v2-delivery_v2,2,4
claude-haiku-4-5-automata_v2-delivery_v2,3,0
claude-haiku-4-5-automata_v2-delivery_v2,4,0
claude-haiku-4-5-automata_v2-delivery_v2,5,5
claude-haiku-4-5-automata_v2-delivery_v2,6,1
claude-haiku-4-5-automata_v2-delivery_v2,7,7
claude-haiku-4-5-automata_v2-delivery_v2,8,6
claude-haiku-4-5-automata_v2-delivery_v2,9,9
claude-haiku-4-5-automata_v2-delivery_v2,10,11
deepseek-v3.2-automata_v2-delivery_v2,1,0
deepseek-v3.2-automata_v2-delivery_v2,2,2
deepseek-v3.2-automata_v2-delivery_v2,3,1
deepseek-v3.2-automata_v2-delivery_v2,4,1
deepseek-v3.2-automata_v2-delivery_v2,5,3
deepseek-v3.2-automata_v2-delivery_v2,6,3
deepseek-v3.2-automata_v2-delivery_v2,7,5
deepseek-v3.2-automata_v2-delivery_v2,8,10
deepseek-v3.2-automata_v2-delivery_v2,9,9
deepseek-v3.2-automata_v2-delivery_v2,10,11
gemini-3-flash-preview-automata_v2-delivery_v2,1,1
gemini-3-flash-preview-automata_v2-delivery_v2,2,2
gemini-3-flash-preview-automata_v2-delivery_v2,3,0
gemini-3-flash-preview-automata_v2-delivery_v2,4,1
gemini-3-flash-preview-automata_v2-delivery_v2,5,1
gemini-3-flash-preview-automata_v2-delivery_v2,6,2
gemini-3-flash-preview-automata_v2-delivery_v2,7,4
gemini-3-flash-preview-automata_v2-delivery_v2,8,2
gemini-3-flash-preview-automata_v2-delivery_v2,9,15
gemini-3-flash-preview-automata_v2-delivery_v2,10,18
gpt-5.4-automata_v2-delivery_v2,1,0
gpt-5.4-automata_v2-delivery_v2,2,3
gpt-5.4-automata_v2-delivery_v2,3,1
gpt-5.4-automata_v2-delivery_v2,4,1
gpt-5.4-automata_v2-delivery_v2,5,1
gpt-5.4-automata_v2-delivery_v2,6,3
gpt-5.4-automata_v2-delivery_v2,7,5
gpt-5.4-automata_v2-delivery_v2,8,8
gpt-5.4-automata_v2-delivery_v2,9,9
gpt-5.4-automata_v2-delivery_v2,10,13
