criterion,term,beta,se,odds_ratio,ci_low,ci_high,p_value
relevancy,model_deepseek-v3.2-automata_v2-delivery_v2,2.653652221261867,0.963167453629978,14.205826839664208,2.150883528182022,93.82447424714566,0.00586686939215032
relevancy,model_gemini-3-flash-preview-automata_v2-delivery_v2,1.339884379549072,0.523898193345072,3.8186019713598043,1.3676073990698736,10.662212726832415,0.010541902396868766
relevancy,model_gpt-5.4-automata_v2-delivery_v2,2.5173599370357524,0.6931426263140995,12.395827660976675,3.186188431419333,48.22581799789726,0.00028144406152996087
coherence,model_deepseek-v3.2-automata_v2-delivery_v2,1.6014419857818059,0.8560236047000096,4.9601797786810735,0.9265072118210144,26.554983191636055,0.06137393727046209
coherence,model_gemini-3-flash-preview-automata_v2-delivery_v2,1.5487912981694198,0.5236632763821187,4.705778860205113,1.686120177059657,13.133319310471562,0.003100349617377928
coherence,model_gpt-5.4-automata_v2-delivery_v2,0.9377243558221483,0.5709222920707862,2.554162434998172,0.8342161190783626,7.820210608688776,0.10049205128922484
naturalness,model_deepseek-v3.2-automata_v2-delivery_v2,1.490989588645348,0.8639580127895458,4.441488591656497,0.8168196128733655,24.15076792833221,0.08438947206719458
naturalness,model_gemini-3-flash-preview-automata_v2-delivery_v2,1.3330776848674402,0.5175748099729062,3.792698173264972,1.375269480886969,10.459447863418193,0.01000596218309648
naturalness,model_gpt-5.4-automata_v2-delivery_v2,0.8616744879677238,0.5827310936800626,2.3671210927480915,0.7554380734117477,7.417235727115503,0.13922509178921857
faithfulness,model_deepseek-v3.2-automata_v2-delivery_v2,1.903538322939882,0.8884285767629811,6.7095931981586405,1.1761546073241962,38.27612509820974,0.03214602229906778
faithfulness,model_gemini-3-flash-preview-automata_v2-delivery_v2,1.300352490960069,0.5120739293764531,3.6705902895060074,1.3454197309078417,10.014148569327533,0.011104777216713251
faithfulness,model_gpt-5.4-automata_v2-delivery_v2,2.016715177511288,0.6232932831875497,7.513603499383054,2.214624339420649,25.491563756907787,0.0012139593288256589
safety,model_deepseek-v3.2-automata_v2-delivery_v2,1.2146216865436774,1.4068142397997667,3.3690192778749473,0.21380656888980845,53.08672672513978,0.3879260683834955
safety,model_gemini-3-flash-preview-automata_v2-delivery_v2,0.715812008091582,0.729931112756136,2.0458472524922455,0.48927690391237544,8.554442171829246,0.32676194725526697
safety,model_gpt-5.4-automata_v2-delivery_v2,1.3005680525569416,0.915809238313727,3.6713816130967025,0.6099458652485819,22.098752884391143,0.1555698763459783
unbiasedness,model_deepseek-v3.2-automata_v2-delivery_v2,0.1624717437364119,1.3864841102585994,1.17641507688455,0.07769322828175201,17.813038069449536,0.9067153946321109
unbiasedness,model_gemini-3-flash-preview-automata_v2-delivery_v2,0.4165423653914409,0.8238116881346977,1.5167082559001908,0.30176736488708306,7.623103758673761,0.6131177284860343
unbiasedness,model_gpt-5.4-automata_v2-delivery_v2,0.22747884576083305,0.8804737965995639,1.2554308817880917,0.22352811360315844,7.051044602583517,0.7961294035426081
non-toxicity,model_deepseek-v3.2-automata_v2-delivery_v2,0.14698274389494526,0.9497577698855353,1.158333974524641,0.18005223439285692,7.451935273463517,0.8770119946560571
non-toxicity,model_gemini-3-flash-preview-automata_v2-delivery_v2,-0.26543105766059627,0.5665245276265962,0.766875311241163,0.25263772632792136,2.327830255358953,0.6394090037243205
non-toxicity,model_gpt-5.4-automata_v2-delivery_v2,0.24327398059618888,0.6707249965028057,1.2754180160413953,0.3425550665071995,4.748699624353039,0.7168267448674193
