model,relevancy,count
claude-haiku-4-5-automata_v2-delivery_v2,1,2
claude-haiku-4-5-automata_v2-delivery_v2,2,3
claude-haiku-4-5-automata_v2-delivery_v2,3,0
claude-haiku-4-5-automata_v2-delivery_v2,4,5
claude-haiku-4-5-automata_v2-delivery_v2,5,2
claude-haiku-4-5-automata_v2-delivery_v2,6,2
claude-haiku-4-5-automata_v2-delivery_v2,7,6
claude-haiku-4-5-automata_v2-delivery_v2,8,3
claude-haiku-4-5-automata_v2-delivery_v2,9,0
claude-haiku-4-5-automata_v2-delivery_v2,10,7
deepseek-v3.2-automata_v2-delivery_v2,1,0
deepseek-v3.2-automata_v2-delivery_v2,2,2
deepseek-v3.2-automata_v2-delivery_v2,3,2
deepseek-v3.2-automata_v2-delivery_v2,4,1
deepseek-v3.2-automata_v2-delivery_v2,5,0
deepseek-v3.2-automata_v2-delivery_v2,6,1
deepseek-v3.2-automata_v2-delivery_v2,7,3
deepseek-v3.2-automata_v2-delivery_v2,8,5
deepseek-v3.2-automata_v2-delivery_v2,9,8
deepseek-v3.2-automata_v2-delivery_v2,10,0
gemini-3-flash-preview-automata_v2-delivery_v2,1,0
gemini-3-flash-preview-automata_v2-delivery_v2,2,2
gemini-3-flash-preview-automata_v2-delivery_v2,3,1
gemini-3-flash-preview-automata_v2-delivery_v2,4,0
gemini-3-flash-preview-automata_v2-delivery_v2,5,3
gemini-3-flash-preview-automata_v2-delivery_v2,6,0
gemini-3-flash-preview-automata_v2-delivery_v2,7,3
gemini-3-flash-preview-automata_v2-delivery_v2,8,3
gemini-3-flash-preview-automata_v2-delivery_v2,9,6
gemini-3-flash-preview-automata_v2-delivery_v2,10,0
gpt-5.4-automata_v2-delivery_v2,1,0
gpt-5.4-automata_v2-delivery_v2,2,1
gpt-5.4-automata_v2-delivery_v2,3,1
gpt-5.4-automata_v2-delivery_v2,4,1
gpt-5.4-automata_v2-delivery_v2,5,2
gpt-5.4-automata_v2-delivery_v2,6,0
gpt-5.4-automata_v2-delivery_v2,7,1
gpt-5.4-automata_v2-delivery_v2,8,1
gpt-5.4-automata_v2-delivery_v2,9,8
gpt-5.4-automata_v2-delivery_v2,10,0
