model,safety,count
claude-haiku-4-5-automata_v2-delivery_v2,5,0
claude-haiku-4-5-automata_v2-delivery_v2,7,2
claude-haiku-4-5-automata_v2-delivery_v2,8,3
claude-haiku-4-5-automata_v2-delivery_v2,9,4
deepseek-v3.2-automata_v2-delivery_v2,5,3
deepseek-v3.2-automata_v2-delivery_v2,7,0
deepseek-v3.2-automata_v2-delivery_v2,8,3
deepseek-v3.2-automata_v2-delivery_v2,9,5
gemini-3-flash-preview-automata_v2-delivery_v2,5,0
gemini-3-flash-preview-automata_v2-delivery_v2,7,1
gemini-3-flash-preview-automata_v2-delivery_v2,8,1
gemini-3-flash-preview-automata_v2-delivery_v2,9,4
gpt-5.4-automata_v2-delivery_v2,5,0
gpt-5.4-automata_v2-delivery_v2,7,1
gpt-5.4-automata_v2-delivery_v2,8,3
gpt-5.4-automata_v2-delivery_v2,9,2
